customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_000040,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,108.96,3460.13,No
CUST_000041,Male,0,No,Yes,16,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,82.39,1322.98,Yes
CUST_000042,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.23,264.29,Yes
CUST_000043,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.51,5811.33,No
CUST_000044,Female,0,Yes,Yes,5,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),67.01,325.22,Yes
CUST_000045,Female,0,Yes,No,26,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),74.51,1874.11,No
CUST_000046,Female,0,No,Yes,27,Yes,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),69.8,1887.31,No
CUST_000047,Female,1,No,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.03,1355.09,No
CUST_000048,Male,0,Yes,No,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),116.24,7708.39,No
CUST_000049,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),44.84,1261.25,No
CUST_000050,Female,0,No,Yes,36,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,42.43,1467.57,No
CUST_000051,Male,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,104.32,2825.15,No
CUST_000052,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),95.31,92.05,No
CUST_000053,Male,0,Yes,Yes,48,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),111.38,5202.05,No
CUST_000054,Female,1,No,No,10,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),118.75,1217.32,No
CUST_000055,Male,0,No,Yes,48,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,93.09,4434.69,No
CUST_000056,Female,0,No,No,62,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),92.61,5920.64,No
CUST_000057,Female,0,Yes,Yes,4,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,87.13,342.53,Yes
CUST_000058,Male,0,Yes,No,61,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,98.22,5972.99,No
CUST_000059,Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,116.68,933.01,Yes
CUST_000060,Male,0,Yes,No,14,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,71.51,997.7,No
CUST_000061,Male,0,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.72,44.26,No
CUST_000062,Male,0,Yes,No,15,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,77.0,1137.69,No
CUST_000063,Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),41.77,216.09,No
CUST_000064,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),103.59,102.63,No
CUST_000065,Male,0,No,No,50,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,112.33,5409.62,No
CUST_000066,Female,0,No,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.08,55.49,Yes
CUST_000067,Female,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),42.93,1357.38,No
CUST_000068,Male,1,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),94.25,593.4,No
CUST_000069,Female,1,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,115.52,1528.67,Yes
CUST_000070,Female,0,No,No,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,98.49,377.62,No
CUST_000071,Female,0,No,Yes,42,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,100.05,4211.9,No
CUST_000072,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.21,1479.64,No
CUST_000073,Male,0,No,No,44,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,85.63, ,No
CUST_000074,Female,1,No,No,49,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.52,4143.71,No
CUST_000075,Male,0,No,Yes,44,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,95.02,4250.33,Yes
CUST_000076,Female,1,Yes,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),114.45,7190.02,No
CUST_000077,Female,1,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,89.8,1197.5,No
CUST_000078,Female,0,No,No,30,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.1,3166.53,No
CUST_000079,Male,0,Yes,No,50,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,79.96,4183.37,No
CUST_000080,Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,114.6,113.21,Yes
CUST_000081,Male,1,Yes,No,53,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),96.7,4904.51,No
CUST_000082,Female,0,No,Yes,24,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,31.75,799.38,No
CUST_000083,Male,1,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.05,1431.36,No
CUST_000084,Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),118.75,3465.78,No
CUST_000085,Male,0,No,Yes,25,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.97,2315.27,Yes
CUST_000086,Male,1,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,118.75,1181.96,Yes
CUST_000087,Female,0,Yes,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.5,608.69,No
CUST_000088,Male,0,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,100.21,5874.62,No
CUST_000089,Female,0,No,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.25,37.9,Yes
CUST_000090,Female,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,99.37,2178.32,Yes
CUST_000091,Female,0,No,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,105.9,No
CUST_000092,Female,0,Yes,No,29,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.47,2853.77,Yes
CUST_000093,Female,1,No,Yes,23,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,79.8,1909.7,No
CUST_000094,Female,1,Yes,No,27,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,108.41,3005.6,No
CUST_000095,Female,0,No,Yes,32,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.77,1100.77,No
CUST_000096,Female,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,82.17,1436.2,Yes
CUST_000097,Female,0,No,No,69,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),96.19,6326.26,No
CUST_000098,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),43.18,838.36,No
CUST_000099,Female,1,No,Yes,19,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,117.02,2319.2,Yes
CUST_000100,Male,0,No,No,2,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),83.03,173.54,No
CUST_000101,Male,0,Yes,No,52,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),73.16,3823.2,No
CUST_000102,Female,0,No,Yes,6,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),112.17,669.68,No
CUST_000103,Female,0,Yes,Yes,14,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,87.65,1242.34,No
CUST_000104,Female,0,Yes,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.93,798.25,No
CUST_000105,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),97.02,1643.96,No
CUST_000106,Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,97.02,2754.71,No
CUST_000107,Female,0,Yes,No,3,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),91.17,266.11,No
CUST_000108,Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),93.83,660.18,Yes
CUST_000109,Female,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.11,4329.59,No
CUST_000110,Male,0,Yes,No,25,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),84.81,2017.85,No
CUST_000111,Female,0,No,No,61,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),84.06,5166.47,Yes
CUST_000112,Male,0,Yes,Yes,19,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,89.79,1739.64,No
CUST_000113,Female,0,No,Yes,18,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),93.3,1634.54,No
CUST_000114,Female,0,No,Yes,21,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,2419.13,Yes
CUST_000115,Male,0,No,No,12,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Electronic check,70.59,862.66,Yes
CUST_000116,Female,1,No,No,64,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,80.61,5218.27,No
CUST_000117,Male,1,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.77,1442.2,Yes
CUST_000118,Female,0,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),104.77,2252.01,Yes
CUST_000119,Female,1,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,117.58,1439.45,Yes
CUST_000120,Male,0,No,No,24,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,90.44,2103.28,No
CUST_000121,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.78,99.22,No
CUST_000122,Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,106.13,0.0,Yes
CUST_000123,Female,0,Yes,Yes,37,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,76.72,2933.36,Yes
CUST_000124,Male,0,No,No,41,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,74.51,2991.53,No
CUST_000125,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),100.92,1369.92,No
CUST_000126,Female,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),42.31,2526.0,No
CUST_000127,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,35.87,105.93,No
CUST_000128,Male,0,Yes,No,0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,102.63,0.0,No
CUST_000129,Female,1,Yes,No,52,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,87.26,4578.62,Yes
CUST_000130,Female,0,No,No,4,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),106.73,409.45,Yes
CUST_000131,Female,0,No,No,40,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),107.75,4228.09,Yes
CUST_000132,Male,0,Yes,No,21,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,67.5,1429.2,Yes
CUST_000133,Male,0,Yes,No,5,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),92.51,445.8,Yes
CUST_000134,Male,0,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Mailed check,99.75,500.95,Yes
CUST_000135,Male,0,Yes,No,30,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,118.75,3640.07,No
CUST_000136,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),87.81,1405.02,Yes
CUST_000137,Male,0,Yes,Yes,7,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,66.65, ,Yes
CUST_000138,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),113.76,4173.41,No
CUST_000139,Male,0,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.2,1116.52,No
CUST_000140,Male,0,Yes,No,5,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),81.89,391.92,Yes
CUST_000141,Female,0,Yes,No,28,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),86.26,2417.56,Yes
CUST_000142,Male,0,No,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,45.68,1136.16,No
CUST_000143,Female,0,Yes,No,36,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.58,2694.63,No
CUST_000144,Female,1,No,No,45,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,82.21,3654.1,Yes
CUST_000145,Female,1,Yes,No,22,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),105.76,2427.3,No
CUST_000146,Male,1,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,53.15,1097.89,Yes
CUST_000147,Male,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.27,526.45,No
CUST_000148,Male,0,No,No,8,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,84.36,686.5,Yes
CUST_000149,Male,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,118.75,3048.52,No
CUST_000150,Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),78.75,399.8,Yes
CUST_000151,Male,0,Yes,No,12,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),81.87,945.67,No
CUST_000152,Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,118.75,7016.34,Yes
CUST_000153,Male,1,No,No,71,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),93.38,6299.11,No
CUST_000154,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,51.76,865.48,No
CUST_000155,Male,1,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,34.8,1875.17,No
CUST_000156,Female,0,No,No,48,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,88.61,4215.97,No
CUST_000157,Male,0,Yes,No,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.36,488.99,No
CUST_000158,Female,0,Yes,No,54,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.88,5698.95,Yes
CUST_000159,Male,0,No,No,2,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,70.45,147.85,Yes
CUST_000160,Female,0,Yes,No,32,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,99.35,3230.08,No
CUST_000161,Male,0,No,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.13,376.96,Yes
CUST_000162,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,96.2,372.74,Yes
CUST_000163,Female,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.37,1704.72,No
CUST_000164,Female,1,No,Yes,43,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,3451.53,Yes
CUST_000165,Female,0,No,No,0,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,100.76,0.0,Yes
CUST_000166,Male,1,No,No,57,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,79.46,4409.21,Yes
CUST_000167,Female,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),73.34,1089.54,No
CUST_000168,Male,0,No,No,13,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),93.58,1271.3,No
CUST_000169,Male,0,Yes,No,2,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),118.75,238.24,Yes
CUST_000170,Female,0,No,Yes,67,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),102.18,7147.26,Yes
CUST_000171,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,107.28,1434.32,No
CUST_000172,Male,0,No,No,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.26,0.0,Yes
CUST_000173,Male,0,No,No,65,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,73.51,4601.86,No
CUST_000174,Female,0,Yes,No,15,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Mailed check,96.63,1381.23,Yes
