gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,1,0,27,1,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,56.47,1580.99,0
Female,0,1,1,50,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,44.94,2350.72,0
Female,0,0,0,23,1,No,DSL,Yes,No,No,No,No,No,One year,0,Electronic check,76.46,1777.92,0
Female,0,1,1,44,1,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),96.51,4272.49,0
Male,0,0,1,28,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),76.82,2057.07,1
Female,1,1,0,20,1,No,Fiber optic,No,No,No,No,No,Yes,Two year,1,Credit card (automatic),89.02,1746.3,0
Male,0,0,1,13,1,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),102.37,1312.15,1
Male,1,1,1,19,1,Yes,DSL,No,No,No,No,Yes,Yes,One year,1,Bank transfer (automatic),92.93,1766.36,0
Male,0,1,0,33,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed check,108.96,3460.13,0
Male,0,0,1,16,1,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Mailed check,82.39,1322.98,1
Male,0,1,1,3,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,90.23,264.29,1
Female,0,0,0,60,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),92.51,5811.33,0
Female,0,1,1,5,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Credit card (automatic),67.01,325.22,1
Female,0,1,0,26,1,No,DSL,No,No,No,No,Yes,No,One year,1,Bank transfer (automatic),74.51,1874.11,0
Female,0,0,1,27,1,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),69.8,1887.31,0
Female,1,0,1,59,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),22.03,1355.09,0
Male,0,1,0,69,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),116.24,7708.39,0
Female,0,0,0,27,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),44.84,1261.25,0
Female,0,0,1,36,1,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,42.43,1467.57,0
Male,0,0,0,28,1,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,1,Electronic check,104.32,2825.15,0
Female,0,1,1,1,1,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Credit card (automatic),95.31,92.05,0
Male,0,1,1,48,1,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),111.38,5202.05,0
Female,1,0,0,10,1,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,1,Credit card (automatic),118.75,1217.32,0
Male,0,0,1,48,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,1,Electronic check,93.09,4434.69,0
Female,0,0,0,62,1,No,Fiber optic,No,Yes,No,No,No,No,Two year,1,Bank transfer (automatic),92.61,5920.64,0
Female,0,1,1,4,1,Yes,DSL,No,No,Yes,No,No,No,Two year,1,Electronic check,87.13,342.53,1
Male,0,1,0,61,1,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,1,Mailed check,98.22,5972.99,0
Male,0,0,0,8,1,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,0,Mailed check,116.68,933.01,1
Male,0,1,0,14,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,71.51,997.7,0
Male,0,1,1,1,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),44.72,44.26,0
Male,0,1,0,15,1,No,DSL,No,Yes,Yes,Yes,No,No,Two year,0,Electronic check,77.0,1137.69,0
Male,0,0,0,5,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),41.77,216.09,0
Male,0,1,0,1,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,1,Bank transfer (automatic),103.59,102.63,0
Male,0,0,0,50,1,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,1,Electronic check,112.33,5409.62,0
Female,0,0,0,3,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.08,55.49,1
Female,0,0,0,31,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),42.93,1357.38,0
Male,1,1,0,6,1,No,Fiber optic,No,No,No,No,Yes,No,Two year,0,Bank transfer (automatic),94.25,593.4,0
Female,1,1,0,13,1,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,1,Electronic check,115.52,1528.67,1
Female,0,0,0,4,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,0,Electronic check,98.49,377.62,0
Female,0,0,1,42,1,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,1,Electronic check,100.05,4211.9,0
Female,0,0,0,31,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),47.21,1479.64,0
Male,0,0,0,44,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,0,Electronic check,85.63,1761.16,0
Female,1,0,0,49,1,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),87.52,4143.71,0
Male,0,0,1,44,1,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,0,Electronic check,95.02,4250.33,1
Female,1,1,0,66,1,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,0,Bank transfer (automatic),114.45,7190.02,0
Female,1,1,0,13,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,89.8,1197.5,0
Female,0,0,0,30,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),108.1,3166.53,0
Male,0,1,0,50,0,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,0,Mailed check,79.96,4183.37,0
Female,0,0,0,1,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,114.6,113.21,1
Male,1,1,0,53,1,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,1,Bank transfer (automatic),96.7,4904.51,0
Female,0,0,1,24,1,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,31.75,799.38,0
Male,1,1,1,47,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,30.05,1431.36,0
Female,0,1,1,29,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),118.75,3465.78,0
Male,0,0,1,25,1,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),93.97,2315.27,1
Male,1,1,0,10,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,0,Electronic check,118.75,1181.96,1
Female,0,1,0,24,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.5,608.69,0
Male,0,1,0,60,1,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,100.21,5874.62,0
Female,0,0,0,2,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.25,37.9,1
Female,0,0,0,21,1,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,99.37,2178.32,1
Female,0,0,0,6,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,18.25,105.9,0
Female,0,1,0,29,1,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,1,Electronic check,98.47,2853.77,1
Female,1,0,1,23,0,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,1,Mailed check,79.8,1909.7,0
Female,1,1,0,27,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,1,Electronic check,108.41,3005.6,0
Female,0,0,1,32,1,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,32.77,1100.77,0
Female,0,0,0,17,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,82.17,1436.2,1
Female,0,0,0,69,1,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,0,Credit card (automatic),96.19,6326.26,0
Female,0,0,0,20,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),43.18,838.36,0
Female,1,0,1,19,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,0,Electronic check,117.02,2319.2,1
Male,0,0,0,2,1,No,DSL,No,No,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),83.03,173.54,0
Male,0,1,0,52,0,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),73.16,3823.2,0
Female,0,0,1,6,1,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,1,Bank transfer (automatic),112.17,669.68,0
Female,0,1,1,14,0,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,1,Mailed check,87.65,1242.34,0
Female,0,1,0,35,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),21.93,798.25,0
Female,0,1,1,17,1,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,1,Credit card (automatic),97.02,1643.96,0
Female,0,1,0,28,1,No,Fiber optic,No,No,No,No,No,No,Two year,0,Mailed check,97.02,2754.71,0
Female,0,1,0,3,1,Yes,DSL,Yes,No,No,No,No,Yes,One year,0,Bank transfer (automatic),91.17,266.11,0
Female,0,0,0,7,1,No,Fiber optic,No,No,No,No,Yes,No,One year,1,Credit card (automatic),93.83,660.18,1
Female,0,1,1,51,1,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),88.11,4329.59,0
Male,0,1,0,25,1,Yes,DSL,No,No,Yes,No,No,Yes,One year,1,Credit card (automatic),84.81,2017.85,0
Female,0,0,0,61,1,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,1,Credit card (automatic),84.06,5166.47,1
Male,0,1,1,19,1,Yes,DSL,No,No,No,No,Yes,Yes,Two year,1,Mailed check,89.79,1739.64,0
Female,0,0,1,18,1,Yes,DSL,No,No,Yes,No,Yes,No,Two year,0,Credit card (automatic),93.3,1634.54,0
Female,0,0,1,21,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,118.75,2419.13,1
Male,0,0,0,12,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Electronic check,70.59,862.66,1
Female,1,0,0,64,1,No,DSL,Yes,No,No,No,No,Yes,One year,1,Electronic check,80.61,5218.27,0
Male,1,1,1,38,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,36.77,1442.2,1
Female,0,1,0,22,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),104.77,2252.01,1
Female,1,1,0,12,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,0,Electronic check,117.58,1439.45,1
Male,0,0,0,24,1,Yes,DSL,Yes,No,No,No,Yes,No,One year,1,Mailed check,90.44,2103.28,0
Female,0,1,0,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),101.78,99.22,0
Male,0,1,1,0,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,106.13,0.0,1
Female,0,1,1,37,0,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,76.72,2933.36,1
Male,0,0,0,41,0,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,1,Electronic check,74.51,2991.53,0
Male,0,1,1,14,1,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,1,Bank transfer (automatic),100.92,1369.92,0
Female,0,0,0,59,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),42.31,2526.0,0
Female,0,1,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,35.87,105.93,0
Male,0,1,0,0,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,0,Mailed check,102.63,0.0,0
Female,1,1,0,52,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,87.26,4578.62,1
Female,0,0,0,4,1,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,0,Credit card (automatic),106.73,409.45,1
Female,0,0,0,40,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,0,Credit card (automatic),107.75,4228.09,1
Male,0,1,0,21,0,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Mailed check,67.5,1429.2,1
Male,0,1,0,5,1,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Credit card (automatic),92.51,445.8,1
Male,0,0,0,5,1,No,Fiber optic,No,No,Yes,No,Yes,No,One year,0,Mailed check,99.75,500.95,1
Male,0,1,0,30,1,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,0,Mailed check,118.75,3640.07,0
Male,0,1,1,16,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),87.81,1405.02,1
Male,0,1,1,7,0,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,0,Electronic check,66.65,1761.16,1
Male,0,1,0,38,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,1,Credit card (automatic),113.76,4173.41,0
Male,0,1,0,58,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,20.2,1116.52,0
Male,0,1,0,5,1,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),81.89,391.92,1
Female,0,1,0,28,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,0,Credit card (automatic),86.26,2417.56,1
Male,0,0,1,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,45.68,1136.16,0
Female,0,1,0,36,0,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),72.58,2694.63,0
Female,1,0,0,45,1,No,Fiber optic,No,Yes,No,No,No,No,One year,1,Mailed check,82.21,3654.1,1
Female,1,1,0,22,1,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,0,Bank transfer (automatic),105.76,2427.3,0
Male,1,0,0,21,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,53.15,1097.89,1
Male,0,1,0,13,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),40.27,526.45,0
Male,0,0,0,8,1,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,0,Mailed check,84.36,686.5,1
Male,0,1,0,25,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,1,Electronic check,118.75,3048.52,0
Female,0,0,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),78.75,399.8,1
Male,0,1,0,12,1,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),81.87,945.67,0
Male,0,1,1,58,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,1,Electronic check,118.75,7016.34,1
Male,1,0,0,71,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),93.38,6299.11,0
Male,0,0,0,17,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,51.76,865.48,0
Male,1,1,0,54,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,34.8,1875.17,0
Female,0,0,0,48,1,No,DSL,No,No,Yes,No,Yes,Yes,Two year,0,Mailed check,88.61,4215.97,0
Male,0,1,0,19,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,26.36,488.99,0
Female,0,1,0,54,1,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,101.88,5698.95,1
Male,0,0,0,2,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,70.45,147.85,1
Female,0,1,0,32,1,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,99.35,3230.08,0
Male,0,0,1,13,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,30.13,376.96,1
Male,0,1,0,4,1,No,Fiber optic,No,No,Yes,No,No,No,Two year,0,Electronic check,96.2,372.74,1
Female,0,0,1,48,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),37.37,1704.72,0
Female,1,0,1,43,0,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,81.35,3451.53,1
Female,0,0,0,0,1,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,1,Electronic check,100.76,0.0,1
Male,1,0,0,57,1,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,79.46,4409.21,1
Female,0,1,1,15,1,No,DSL,No,Yes,Yes,No,No,No,One year,0,Bank transfer (automatic),73.34,1089.54,0
Male,0,0,0,13,1,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,1,Credit card (automatic),93.58,1271.3,0
Male,0,1,0,2,1,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,0,Credit card (automatic),118.75,238.24,1
Female,0,0,1,67,1,Yes,Fiber optic,No,No,No,No,No,Yes,One year,1,Credit card (automatic),102.18,7147.26,1
Female,0,0,0,14,1,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,1,Electronic check,107.28,1434.32,0
Male,0,0,0,0,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,18.26,0.0,1
Male,0,0,0,65,1,No,DSL,Yes,No,No,No,No,Yes,One year,1,Mailed check,73.51,4601.86,0
Female,0,1,0,15,1,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,0,Mailed check,96.63,1381.23,1
Female,0,0,0,30,1,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,1,Electronic check,102.27,2995.9,1
Female,0,1,0,17,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,0,Credit card (automatic),76.24,1233.79,1
Male,0,0,0,3,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,42.72,123.81,1
Male,0,1,0,28,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,118.04,3206.29,0
Male,0,0,0,27,0,No phone service,DSL,No,Yes,No,Yes,Yes,No,One year,0,Mailed check,69.37,1966.01,0
Male,0,1,0,57,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,45.11,2457.93,0
Male,0,0,1,71,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),33.97,2520.57,0
Male,0,1,1,6,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),47.62,282.4,0
Female,0,0,0,14,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,0,Credit card (automatic),115.04,1617.45,1
Male,0,1,0,19,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),49.02,887.93,0
Male,0,0,1,28,1,Yes,DSL,No,No,Yes,No,No,No,Two year,1,Mailed check,74.49,1982.55,0
Male,0,1,0,16,1,No,Fiber optic,No,No,No,Yes,Yes,No,One year,1,Electronic check,94.37,1471.37,0
Female,1,0,1,19,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,0,Electronic check,63.07,1220.74,1
Male,0,1,1,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,80.68,411.23,1
Male,0,0,1,66,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),41.0,2729.12,0
Female,0,1,0,11,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,43.75,479.48,1
Male,0,0,0,68,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),32.99,2185.05,0
Male,0,1,1,7,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,102.57,742.2,0
Male,0,1,0,30,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),47.05,1421.83,0
Male,0,0,1,59,0,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),92.72,5384.94,0
Male,0,1,0,53,1,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),83.09,4248.81,0
Female,0,1,1,40,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,109.15,4435.58,1
Female,0,0,0,66,1,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,0,Electronic check,91.66,5865.34,0
Female,1,0,0,15,1,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,1,Mailed check,94.1,1414.85,0
Male,0,0,0,60,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,43.54,2595.42,1
Male,1,1,1,3,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,83.4,242.71,1
Male,0,1,1,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),35.39,218.28,0
Female,1,0,0,63,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),85.41,5358.34,0
Male,1,1,0,26,1,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.8,2223.98,1
Male,0,0,0,53,0,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,0,Bank transfer (automatic),63.19,3350.23,0
Female,0,1,0,9,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,29.16,254.74,0
Male,0,0,0,5,1,No,DSL,Yes,No,No,Yes,Yes,No,Two year,0,Mailed check,90.98,477.33,0
Female,0,0,0,27,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,1,Credit card (automatic),118.75,3253.53,0
